                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.3241,                 1.4816,                 1.1922,                0.72716,                0.25349,                0.28914,                0.20274,                  1.384,                 1.6106,                 1.2656,             0.00020372,             0.00020372,             0.00020372
                     35,                 1.3101,                 1.4564,                 1.1812,                0.73132,                0.26025,                0.29945,                 0.2092,                 1.3734,                 1.6062,                  1.262,             0.00019271,             0.00019271,             0.00019271
                     36,                 1.3022,                 1.4311,                 1.1766,                0.65974,                 0.2674,                0.29704,                0.20591,                 1.3672,                 1.5969,                 1.2581,              0.0001817,              0.0001817,              0.0001817
                     37,                 1.2909,                  1.419,                 1.1752,                0.71158,                0.26597,                0.28985,                0.20085,                 1.3853,                 1.6157,                 1.2644,             0.00017069,             0.00017069,             0.00017069
                     38,                 1.2921,                 1.4131,                 1.1722,                0.73445,                0.26742,                0.29788,                0.20887,                 1.4038,                 1.5887,                 1.2706,             0.00015968,             0.00015968,             0.00015968
                     39,                 1.2822,                 1.4263,                 1.1629,                0.75273,                0.26625,                0.29512,                0.20844,                 1.3725,                 1.5772,                 1.2531,             0.00014867,             0.00014867,             0.00014867
                     40,                 1.2729,                 1.3802,                  1.164,                 0.7543,                0.26745,                0.30429,                0.21206,                 1.3855,                  1.573,                 1.2672,             0.00013767,             0.00013767,             0.00013767
                     41,                  1.289,                 1.4596,                  1.183,                0.73842,                0.26308,                0.32329,                0.22207,                  1.377,                 1.6046,                 1.2763,             0.00012666,             0.00012666,             0.00012666
                     42,                 1.2666,                 1.3996,                 1.1792,                0.75912,                0.26287,                0.30179,                 0.2104,                 1.3785,                 1.5847,                 1.2711,             0.00011565,             0.00011565,             0.00011565
                     43,                 1.2555,                 1.3672,                 1.1708,                0.62341,                0.29422,                0.30802,                0.21179,                  1.371,                 1.5834,                 1.2689,             0.00010464,             0.00010464,             0.00010464
                     44,                 1.2433,                  1.337,                 1.1686,                0.55655,                0.30645,                0.30157,                0.21135,                 1.3678,                 1.5756,                 1.2689,              9.363e-05,              9.363e-05,              9.363e-05
                     45,                 1.2349,                 1.3337,                 1.1636,                0.57483,                0.30175,                0.30718,                 0.2138,                 1.3617,                 1.5567,                 1.2603,             8.2622e-05,             8.2622e-05,             8.2622e-05
                     46,                 1.2347,                 1.3289,                 1.1609,                0.66345,                 0.2916,                0.31108,                0.21707,                 1.3691,                 1.5678,                 1.2657,             7.1613e-05,             7.1613e-05,             7.1613e-05
                     47,                 1.2295,                 1.3213,                 1.1548,                0.62904,                 0.2961,                0.30648,                0.21366,                 1.3671,                 1.5594,                 1.2649,             6.0604e-05,             6.0604e-05,             6.0604e-05
                     48,                 1.2137,                 1.3006,                 1.1415,                0.53792,                0.31576,                0.31276,                0.21502,                 1.3619,                 1.5559,                 1.2636,             4.9595e-05,             4.9595e-05,             4.9595e-05
                     49,                 1.2068,                 1.2828,                 1.1461,                0.55369,                0.31316,                0.31055,                0.21482,                 1.3603,                 1.5512,                 1.2617,             3.8586e-05,             3.8586e-05,             3.8586e-05
                     50,                 1.2138,                  1.295,                   1.15,                  0.533,                0.33399,                0.31353,                0.21858,                 1.3593,                 1.5461,                 1.2587,             2.7578e-05,             2.7578e-05,             2.7578e-05
